"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,0,0,0
8.1397e+17,1,5e-10,5e-10,0,0
3.0657e+18,1,1e-09,1e-09,0,0
6.2177e+18,1,1.5e-09,1.5e-09,0,0
9.6024e+18,1,2e-09,2e-09,0,0
1.2763e+19,1,2.5e-09,2.5e-09,0,0
1.5616e+19,1,3e-09,3e-09,0,0
1.8281e+19,1,3.5e-09,3.5e-09,0,0
2.0871e+19,1,4e-09,4e-09,0,0
2.3435e+19,1,4.5e-09,4.5e-09,0,0
2.5986e+19,1,5e-09,5e-09,0,0
2.8526e+19,1,5.5e-09,5.5e-09,0,0
3.1054e+19,1,6e-09,6e-09,0,0
3.3571e+19,1,6.5e-09,6.5e-09,0,0
3.6077e+19,1,7e-09,7e-09,0,0
3.8571e+19,1,7.5e-09,7.5e-09,0,0
4.1052e+19,1,8e-09,8e-09,0,0
4.3521e+19,1,8.5e-09,8.5e-09,0,0
4.5981e+19,1,9e-09,9e-09,0,0
4.8426e+19,1,9.5e-09,9.5e-09,0,0
5.0861e+19,1,1e-08,1e-08,0,0
5.3283e+19,1,1.05e-08,1.05e-08,0,0
5.5692e+19,1,1.1e-08,1.1e-08,0,0
5.809e+19,1,1.15e-08,1.15e-08,0,0
6.0474e+19,1,1.2e-08,1.2e-08,0,0
6.2847e+19,1,1.25e-08,1.25e-08,0,0
6.5204e+19,1,1.3e-08,1.3e-08,0,0
6.7553e+19,1,1.35e-08,1.35e-08,0,0
6.9884e+19,1,1.4e-08,1.4e-08,0,0
7.2207e+19,1,1.45e-08,1.45e-08,0,0
7.4511e+19,1,1.5e-08,1.5e-08,0,0
7.6808e+19,1,1.55e-08,1.55e-08,0,0
7.9086e+19,1,1.6e-08,1.6e-08,0,0
8.1357e+19,1,1.65e-08,1.65e-08,0,0
8.3607e+19,1,1.7e-08,1.7e-08,0,0
8.5852e+19,1,1.75e-08,1.75e-08,0,0
8.8075e+19,1,1.8e-08,1.8e-08,0,0
9.0293e+19,1,1.85e-08,1.85e-08,0,0
9.2487e+19,1,1.9e-08,1.9e-08,0,0
9.4679e+19,1,1.95e-08,1.95e-08,0,0
9.6845e+19,1,2e-08,2e-08,0,0
9.901e+19,1,2.05e-08,2.05e-08,0,0
1.0115e+20,1,2.1e-08,2.1e-08,0,0
1.0328e+20,1,2.15e-08,2.15e-08,0,0
1.0539e+20,1,2.2e-08,2.2e-08,0,0
1.075e+20,1,2.25e-08,2.25e-08,0,0
1.0958e+20,1,2.3e-08,2.3e-08,0,0
1.1166e+20,1,2.35e-08,2.35e-08,0,0
1.1372e+20,1,2.4e-08,2.4e-08,0,0
1.1577e+20,1,2.45e-08,2.45e-08,0,0
1.1779e+20,1,2.5e-08,2.5e-08,0,0
1.1982e+20,1,2.55e-08,2.55e-08,0,0
1.2181e+20,1,2.6e-08,2.6e-08,0,0
1.2381e+20,1,2.65e-08,2.65e-08,0,0
1.2578e+20,1,2.7e-08,2.7e-08,0,0
1.2774e+20,1,2.75e-08,2.75e-08,0,0
1.2968e+20,1,2.8e-08,2.8e-08,0,0
1.3161e+20,1,2.85e-08,2.85e-08,0,0
1.3353e+20,1,2.9e-08,2.9e-08,0,0
1.3543e+20,1,2.95e-08,2.95e-08,0,0
1.3732e+20,1,3e-08,3e-08,0,0
1.3919e+20,1,3.05e-08,3.05e-08,0,0
1.4105e+20,1,3.1e-08,3.1e-08,0,0
1.4289e+20,1,3.15e-08,3.15e-08,0,0
1.4472e+20,1,3.2e-08,3.2e-08,0,0
1.4653e+20,1,3.25e-08,3.25e-08,0,0
1.4833e+20,1,3.3e-08,3.3e-08,0,0
1.5012e+20,1,3.35e-08,3.35e-08,0,0
1.5189e+20,1,3.4e-08,3.4e-08,0,0
1.5364e+20,1,3.45e-08,3.45e-08,0,0
1.5539e+20,1,3.5e-08,3.5e-08,0,0
1.5711e+20,1,3.55e-08,3.55e-08,0,0
1.5882e+20,1,3.6e-08,3.6e-08,0,0
1.6052e+20,1,3.65e-08,3.65e-08,0,0
1.6221e+20,1,3.7e-08,3.7e-08,0,0
1.6387e+20,1,3.75e-08,3.75e-08,0,0
1.6553e+20,1,3.8e-08,3.8e-08,0,0
1.6716e+20,1,3.85e-08,3.85e-08,0,0
1.688e+20,1,3.9e-08,3.9e-08,0,0
1.704e+20,1,3.95e-08,3.95e-08,0,0
1.72e+20,1,4e-08,4e-08,0,0
1.7358e+20,1,4.05e-08,4.05e-08,0,0
1.7515e+20,1,4.1e-08,4.1e-08,0,0
1.767e+20,1,4.15e-08,4.15e-08,0,0
1.7825e+20,1,4.2e-08,4.2e-08,0,0
1.7976e+20,1,4.25e-08,4.25e-08,0,0
1.8128e+20,1,4.3e-08,4.3e-08,0,0
1.8277e+20,1,4.35e-08,4.35e-08,0,0
1.8426e+20,1,4.4e-08,4.4e-08,0,0
1.8572e+20,1,4.45e-08,4.45e-08,0,0
1.8718e+20,1,4.5e-08,4.5e-08,0,0
1.8861e+20,1,4.55e-08,4.55e-08,0,0
1.9004e+20,1,4.6e-08,4.6e-08,0,0
1.9145e+20,1,4.65e-08,4.65e-08,0,0
1.9285e+20,1,4.7e-08,4.7e-08,0,0
1.9423e+20,1,4.75e-08,4.75e-08,0,0
1.9561e+20,1,4.8e-08,4.8e-08,0,0
1.9696e+20,1,4.85e-08,4.85e-08,0,0
1.983e+20,1,4.9e-08,4.9e-08,0,0
1.9963e+20,1,4.95e-08,4.95e-08,0,0
2.0095e+20,1,5e-08,5e-08,0,0
2.0225e+20,1,5.05e-08,5.05e-08,0,0
2.0353e+20,1,5.1e-08,5.1e-08,0,0
2.0481e+20,1,5.15e-08,5.15e-08,0,0
2.0607e+20,1,5.2e-08,5.2e-08,0,0
2.0731e+20,1,5.25e-08,5.25e-08,0,0
2.0855e+20,1,5.3e-08,5.3e-08,0,0
2.0977e+20,1,5.35e-08,5.35e-08,0,0
2.1097e+20,1,5.4e-08,5.4e-08,0,0
2.1217e+20,1,5.45e-08,5.45e-08,0,0
2.1335e+20,1,5.5e-08,5.5e-08,0,0
2.1451e+20,1,5.55e-08,5.55e-08,0,0
2.1567e+20,1,5.6e-08,5.6e-08,0,0
2.1681e+20,1,5.65e-08,5.65e-08,0,0
2.1793e+20,1,5.7e-08,5.7e-08,0,0
2.1905e+20,1,5.75e-08,5.75e-08,0,0
2.2015e+20,1,5.8e-08,5.8e-08,0,0
2.2124e+20,1,5.85e-08,5.85e-08,0,0
2.2231e+20,1,5.9e-08,5.9e-08,0,0
2.2338e+20,1,5.95e-08,5.95e-08,0,0
2.2443e+20,1,6e-08,6e-08,0,0
2.2547e+20,1,6.05e-08,6.05e-08,0,0
2.2649e+20,1,6.1e-08,6.1e-08,0,0
2.2751e+20,1,6.15e-08,6.15e-08,0,0
2.2851e+20,1,6.2e-08,6.2e-08,0,0
2.295e+20,1,6.25e-08,6.25e-08,0,0
2.3047e+20,1,6.3e-08,6.3e-08,0,0
2.3144e+20,1,6.35e-08,6.35e-08,0,0
2.3239e+20,1,6.4e-08,6.4e-08,0,0
2.3333e+20,1,6.45e-08,6.45e-08,0,0
2.3425e+20,1,6.5e-08,6.5e-08,0,0
2.3517e+20,1,6.55e-08,6.55e-08,0,0
2.3607e+20,1,6.6e-08,6.6e-08,0,0
2.3697e+20,1,6.65e-08,6.65e-08,0,0
2.3784e+20,1,6.7e-08,6.7e-08,0,0
2.3871e+20,1,6.75e-08,6.75e-08,0,0
2.3957e+20,1,6.8e-08,6.8e-08,0,0
2.4042e+20,1,6.85e-08,6.85e-08,0,0
2.4125e+20,1,6.9e-08,6.9e-08,0,0
2.4207e+20,1,6.95e-08,6.95e-08,0,0
2.4288e+20,1,7e-08,7e-08,0,0
2.4368e+20,1,7.05e-08,7.05e-08,0,0
2.4447e+20,1,7.1e-08,7.1e-08,0,0
2.4524e+20,1,7.15e-08,7.15e-08,0,0
2.4601e+20,1,7.2e-08,7.2e-08,0,0
2.4676e+20,1,7.25e-08,7.25e-08,0,0
2.4751e+20,1,7.3e-08,7.3e-08,0,0
2.4824e+20,1,7.35e-08,7.35e-08,0,0
2.4896e+20,1,7.4e-08,7.4e-08,0,0
2.4967e+20,1,7.45e-08,7.45e-08,0,0
2.5037e+20,1,7.5e-08,7.5e-08,0,0
2.5106e+20,1,7.55e-08,7.55e-08,0,0
2.5174e+20,1,7.6e-08,7.6e-08,0,0
2.5241e+20,1,7.65e-08,7.65e-08,0,0
2.5307e+20,1,7.7e-08,7.7e-08,0,0
2.5371e+20,1,7.75e-08,7.75e-08,0,0
2.5435e+20,1,7.8e-08,7.8e-08,0,0
2.5498e+20,1,7.85e-08,7.85e-08,0,0
2.556e+20,1,7.9e-08,7.9e-08,0,0
2.562e+20,1,7.95e-08,7.95e-08,0,0
2.568e+20,1,8e-08,8e-08,0,0
2.5739e+20,1,8.05e-08,8.05e-08,0,0
2.5797e+20,1,8.1e-08,8.1e-08,0,0
2.5853e+20,1,8.15e-08,8.15e-08,0,0
2.5909e+20,1,8.2e-08,8.2e-08,0,0
2.5963e+20,1,8.25e-08,8.25e-08,0,0
2.6018e+20,1,8.3e-08,8.3e-08,0,0
2.607e+20,1,8.35e-08,8.35e-08,0,0
2.6122e+20,1,8.4e-08,8.4e-08,0,0
2.6173e+20,1,8.45e-08,8.45e-08,0,0
2.6223e+20,1,8.5e-08,8.5e-08,0,0
2.6272e+20,1,8.55e-08,8.55e-08,0,0
2.6321e+20,1,8.6e-08,8.6e-08,0,0
2.6367e+20,1,8.65e-08,8.65e-08,0,0
2.6414e+20,1,8.7e-08,8.7e-08,0,0
2.6459e+20,1,8.75e-08,8.75e-08,0,0
2.6504e+20,1,8.8e-08,8.8e-08,0,0
2.6547e+20,1,8.85e-08,8.85e-08,0,0
2.659e+20,1,8.9e-08,8.9e-08,0,0
2.6632e+20,1,8.95e-08,8.95e-08,0,0
2.6673e+20,1,9e-08,9e-08,0,0
2.6713e+20,1,9.05e-08,9.05e-08,0,0
2.6753e+20,1,9.1e-08,9.1e-08,0,0
2.6791e+20,1,9.15e-08,9.15e-08,0,0
2.6829e+20,1,9.2e-08,9.2e-08,0,0
2.6865e+20,1,9.25e-08,9.25e-08,0,0
2.6901e+20,1,9.3e-08,9.3e-08,0,0
2.6937e+20,1,9.35e-08,9.35e-08,0,0
2.6971e+20,1,9.4e-08,9.4e-08,0,0
2.7004e+20,1,9.45e-08,9.45e-08,0,0
2.7037e+20,1,9.5e-08,9.5e-08,0,0
2.7069e+20,1,9.55e-08,9.55e-08,0,0
2.71e+20,1,9.6e-08,9.6e-08,0,0
2.713e+20,1,9.65e-08,9.65e-08,0,0
2.716e+20,1,9.7e-08,9.7e-08,0,0
2.7189e+20,1,9.75e-08,9.75e-08,0,0
2.7217e+20,1,9.8e-08,9.8e-08,0,0
2.7244e+20,1,9.85e-08,9.85e-08,0,0
2.727e+20,1,9.9e-08,9.9e-08,0,0
2.7296e+20,1,9.95e-08,9.95e-08,0,0
2.7321e+20,1,1e-07,1e-07,0,0
2.7346e+20,1,1.005e-07,1.005e-07,0,0
2.7369e+20,1,1.01e-07,1.01e-07,0,0
2.7392e+20,1,1.015e-07,1.015e-07,0,0
2.7414e+20,1,1.02e-07,1.02e-07,0,0
2.7435e+20,1,1.025e-07,1.025e-07,0,0
2.7456e+20,1,1.03e-07,1.03e-07,0,0
2.7476e+20,1,1.035e-07,1.035e-07,0,0
2.7495e+20,1,1.04e-07,1.04e-07,0,0
2.7514e+20,1,1.045e-07,1.045e-07,0,0
2.7532e+20,1,1.05e-07,1.05e-07,0,0
2.7549e+20,1,1.055e-07,1.055e-07,0,0
2.7565e+20,1,1.06e-07,1.06e-07,0,0
2.7582e+20,1,1.065e-07,1.065e-07,0,0
2.7597e+20,1,1.07e-07,1.07e-07,0,0
2.7611e+20,1,1.075e-07,1.075e-07,0,0
2.7625e+20,1,1.08e-07,1.08e-07,0,0
2.7639e+20,1,1.085e-07,1.085e-07,0,0
2.7651e+20,1,1.09e-07,1.09e-07,0,0
2.7663e+20,1,1.095e-07,1.095e-07,0,0
2.7675e+20,1,1.1e-07,1.1e-07,0,0
2.7686e+20,1,1.105e-07,1.105e-07,0,0
2.7696e+20,1,1.11e-07,1.11e-07,0,0
2.7705e+20,1,1.115e-07,1.115e-07,0,0
2.7714e+20,1,1.12e-07,1.12e-07,0,0
2.7723e+20,1,1.125e-07,1.125e-07,0,0
2.773e+20,1,1.13e-07,1.13e-07,0,0
2.7738e+20,1,1.135e-07,1.135e-07,0,0
2.7744e+20,1,1.14e-07,1.14e-07,0,0
2.775e+20,1,1.145e-07,1.145e-07,0,0
2.7756e+20,1,1.15e-07,1.15e-07,0,0
2.7761e+20,1,1.155e-07,1.155e-07,0,0
2.7765e+20,1,1.16e-07,1.16e-07,0,0
2.7769e+20,1,1.165e-07,1.165e-07,0,0
2.7772e+20,1,1.17e-07,1.17e-07,0,0
2.7775e+20,1,1.175e-07,1.175e-07,0,0
2.7777e+20,1,1.18e-07,1.18e-07,0,0
2.7779e+20,1,1.185e-07,1.185e-07,0,0
2.778e+20,1,1.19e-07,1.19e-07,0,0
2.7781e+20,1,1.195e-07,1.195e-07,0,0
2.7781e+20,1,1.2e-07,1.2e-07,0,0
2.778e+20,1,1.205e-07,1.205e-07,0,0
2.778e+20,1,1.21e-07,1.21e-07,0,0
2.7778e+20,1,1.215e-07,1.215e-07,0,0
2.7776e+20,1,1.22e-07,1.22e-07,0,0
2.7774e+20,1,1.225e-07,1.225e-07,0,0
2.7771e+20,1,1.23e-07,1.23e-07,0,0
2.7767e+20,1,1.235e-07,1.235e-07,0,0
2.7764e+20,1,1.24e-07,1.24e-07,0,0
2.7759e+20,1,1.245e-07,1.245e-07,0,0
2.7755e+20,1,1.25e-07,1.25e-07,0,0
2.7749e+20,1,1.255e-07,1.255e-07,0,0
2.7744e+20,1,1.26e-07,1.26e-07,0,0
2.7737e+20,1,1.265e-07,1.265e-07,0,0
2.7731e+20,1,1.27e-07,1.27e-07,0,0
2.7724e+20,1,1.275e-07,1.275e-07,0,0
2.7716e+20,1,1.28e-07,1.28e-07,0,0
2.7708e+20,1,1.285e-07,1.285e-07,0,0
2.77e+20,1,1.29e-07,1.29e-07,0,0
2.7691e+20,1,1.295e-07,1.295e-07,0,0
2.7682e+20,1,1.3e-07,1.3e-07,0,0
2.7672e+20,1,1.305e-07,1.305e-07,0,0
2.7662e+20,1,1.31e-07,1.31e-07,0,0
2.7651e+20,1,1.315e-07,1.315e-07,0,0
2.7641e+20,1,1.32e-07,1.32e-07,0,0
2.7629e+20,1,1.325e-07,1.325e-07,0,0
2.7618e+20,1,1.33e-07,1.33e-07,0,0
2.7606e+20,1,1.335e-07,1.335e-07,0,0
2.7593e+20,1,1.34e-07,1.34e-07,0,0
2.758e+20,1,1.345e-07,1.345e-07,0,0
2.7567e+20,1,1.35e-07,1.35e-07,0,0
2.7553e+20,1,1.355e-07,1.355e-07,0,0
2.7539e+20,1,1.36e-07,1.36e-07,0,0
2.7525e+20,1,1.365e-07,1.365e-07,0,0
2.751e+20,1,1.37e-07,1.37e-07,0,0
2.7495e+20,1,1.375e-07,1.375e-07,0,0
2.748e+20,1,1.38e-07,1.38e-07,0,0
2.7464e+20,1,1.385e-07,1.385e-07,0,0
2.7448e+20,1,1.39e-07,1.39e-07,0,0
2.7432e+20,1,1.395e-07,1.395e-07,0,0
2.7415e+20,1,1.4e-07,1.4e-07,0,0
2.7398e+20,1,1.405e-07,1.405e-07,0,0
2.738e+20,1,1.41e-07,1.41e-07,0,0
2.7362e+20,1,1.415e-07,1.415e-07,0,0
2.7344e+20,1,1.42e-07,1.42e-07,0,0
2.7326e+20,1,1.425e-07,1.425e-07,0,0
2.7307e+20,1,1.43e-07,1.43e-07,0,0
2.7288e+20,1,1.435e-07,1.435e-07,0,0
2.7268e+20,1,1.44e-07,1.44e-07,0,0
2.7249e+20,1,1.445e-07,1.445e-07,0,0
2.7229e+20,1,1.45e-07,1.45e-07,0,0
2.7208e+20,1,1.455e-07,1.455e-07,0,0
2.7188e+20,1,1.46e-07,1.46e-07,0,0
2.7167e+20,1,1.465e-07,1.465e-07,0,0
2.7146e+20,1,1.47e-07,1.47e-07,0,0
2.7124e+20,1,1.475e-07,1.475e-07,0,0
2.7102e+20,1,1.48e-07,1.48e-07,0,0
2.708e+20,1,1.485e-07,1.485e-07,0,0
2.7058e+20,1,1.49e-07,1.49e-07,0,0
2.7035e+20,1,1.495e-07,1.495e-07,0,0
2.7012e+20,1,1.5e-07,1.5e-07,0,0
2.6989e+20,1,1.505e-07,1.505e-07,0,0
2.6966e+20,1,1.51e-07,1.51e-07,0,0
2.6942e+20,1,1.515e-07,1.515e-07,0,0
2.6918e+20,1,1.52e-07,1.52e-07,0,0
2.6894e+20,1,1.525e-07,1.525e-07,0,0
2.687e+20,1,1.53e-07,1.53e-07,0,0
2.6845e+20,1,1.535e-07,1.535e-07,0,0
2.682e+20,1,1.54e-07,1.54e-07,0,0
2.6795e+20,1,1.545e-07,1.545e-07,0,0
2.6769e+20,1,1.55e-07,1.55e-07,0,0
2.6744e+20,1,1.555e-07,1.555e-07,0,0
2.6718e+20,1,1.56e-07,1.56e-07,0,0
2.6692e+20,1,1.565e-07,1.565e-07,0,0
2.6665e+20,1,1.57e-07,1.57e-07,0,0
2.6639e+20,1,1.575e-07,1.575e-07,0,0
2.6612e+20,1,1.58e-07,1.58e-07,0,0
2.6585e+20,1,1.585e-07,1.585e-07,0,0
2.6558e+20,1,1.59e-07,1.59e-07,0,0
2.653e+20,1,1.595e-07,1.595e-07,0,0
2.6503e+20,1,1.6e-07,1.6e-07,0,0
2.6475e+20,1,1.605e-07,1.605e-07,0,0
2.6447e+20,1,1.61e-07,1.61e-07,0,0
2.6418e+20,1,1.615e-07,1.615e-07,0,0
2.639e+20,1,1.62e-07,1.62e-07,0,0
2.6361e+20,1,1.625e-07,1.625e-07,0,0
2.6332e+20,1,1.63e-07,1.63e-07,0,0
2.6303e+20,1,1.635e-07,1.635e-07,0,0
2.6274e+20,1,1.64e-07,1.64e-07,0,0
2.6245e+20,1,1.645e-07,1.645e-07,0,0
2.6215e+20,1,1.65e-07,1.65e-07,0,0
2.6185e+20,1,1.655e-07,1.655e-07,0,0
2.6155e+20,1,1.66e-07,1.66e-07,0,0
2.6125e+20,1,1.665e-07,1.665e-07,0,0
2.6095e+20,1,1.67e-07,1.67e-07,0,0
2.6064e+20,1,1.675e-07,1.675e-07,0,0
2.6034e+20,1,1.68e-07,1.68e-07,0,0
2.6003e+20,1,1.685e-07,1.685e-07,0,0
2.5972e+20,1,1.69e-07,1.69e-07,0,0
2.5941e+20,1,1.695e-07,1.695e-07,0,0
2.5909e+20,1,1.7e-07,1.7e-07,0,0
